	text	sentiment
37	So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day	0
38	 I`m sorry  at least it`s Friday?	0
39	feels sorry every time I`m printing out, I use like 200 new papers	0
40	 4n? ma rog  never heard of it  esti beat acum? u tweet too much	0
41	 I always forget SOMETHING when I travel. I am at Newark airport.	0
42	Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing	0
43	i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.	0
44	 Hi there.  I agree!  Small children should be running about happy, not breaking down in tears	1
45	  Hope ur havin fun in da club	1
46	i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...	0
47	thinks SG is wonderful	1
48	  im really sorry i know wallah how u feel this life is shittttttttt	0
49	Not happy	0
50	Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show	0
51	 I`ll oscillate from one to the other.	0
52	I`m so very tired...and have insomnia.	0
53	 Thanks Ennio	1
54	 you should totally come get me and bring me to kelslaws house with you.	0
55	 You seem nice, you`re generous and you know your stuff	1
56	 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR	0
57	almost got a kitty yesterday...but it didn`t work out	0
58	reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.	0
59	   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!	1
60	 i still dont know what we would do though	0
61	_xo   dang it, so its not certain ? ? ? are you okay?	0
62	Change of plans. I am staying in Brandon.  No Papaya Salad for me.	0
63	Dear rain, you suck. Now I gotta change my plans for tonight	0
64	at starbucks with my love. eff school. i have work later too.	0
65	I just cried whilst watching hollyoaks  .. i need a life! lol	0
66	Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely	1
67	Terminator Salvation... by myself.	0
68	 for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!	0
69	 Why do I have to enter my registration details every time I update?	0
70	On the monday, so i wont be able to be with you!  i love you	1
71	 Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!	1
72	 TGIF is right...I think I broke my toe last night - on my bad foot.	0
73	 Oherr it`s soon then, do you have plans? I had a party on saturday  x	0
74	_LaMont yr very young looking dude	1
75	: hmmm, wrong link, ignore my tweet	0
76	AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!	0
77	Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.	0
78	 yep, i wish they were all playing dubiln	1
79	 im a lady and ladies don`t move couches. they direct where the couches go	0
80	 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!	1
81	 26th February	0
82	Guess what? mom adopted a kitty today (11 months) His name is Corky	0
83	Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!	1
84	 Thank you!  I`m working on `s	1
85	 lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time	0
86	Not feeling all that well today	0
87	http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM	0
88	_berland LMAO I know I know	0
89	Gnight shar   <(` `<)Vega(>` `)>	0
90	The underwire in my bra is sticking out and poking me in the armpit	0
91	Happy Mothers Day!!!	1
92	Yes, I am	0
93	 I can`t call Mitch!  Im from sweden!	0
94	Happy star wars day! May the fourth be with you	1
95	was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet	0
96	i just watched Marley & Me...i cried so hard!	0
97	Take antibacterial to school to clean your hands when you cant go the loos	0
98	I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.	0
99	 haaaw..well i get out of class at 10:50..i hope i make it	1
100	oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent	0
101	skype call with billie but my webcam dont work	0
102	Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood	1
103	FML not having a car is prohibiting finding a job	0
104	  lol since I got twitter a little while ago, it seems like loads of people setting up an account	0
105	 I want to see David cook!!	1
106	 yeh me 2	0
107	 learning tat the scenic way  din plan to go town but somehow was herded there?	0
108	 i don`t want to do anything specific, i just want to see you and puppy!	0
109	 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd	0
110	Toy Story 3 trailer premiered with Up. I need my computer back.	0
111	ughh on the phone with HP!	0
112	And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart'	0
113	 yay about breaking 200!	1
114	 bahah sadly I am not	0
115	 i always have those for my Champions League parties  Tis awesome	1
116	 well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!	1
117	_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..	0
118	 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers	0
119	might have to go back much earlier than expected. bye bye bay area	0
120	Playin City of Villains, wishin my buddies were playin with me.....	1
121	 yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously	1
122	 riley hacked my twitter!  hahaha :]	0
123	Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.	0
124	 I liked it.  Did you record it yourself?  If so you have a very soothing voice.	1
125	man im so sad school is ending  but then again high school might be better :O	0
126	 Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.	1
127	 you`re the absoute best	1
128	oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz	0
129	My near daily exercise is starting to show results.	0
130	 Welcome!	1
131	Bout to hit pmark then make one of my final meals wit the housemates..	0
132	: you get to go home and i have to go to work	0
133	voted for  on CMT.com	0
134	just got home from a nice party, just not tired yet	1
135	Now I have a sunburn	0
136	I have the Job  this is a nice day it can not be better	1
137	I wish I could go to #BEA this weekend.	1
138	I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him	0
139	 love your books	1
140	ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!	0
141	Im Slowing on My Tweets..Cuase I Lost My Phone	0
142	 well thank your phone for me.	1
143	 why would they take a photo with stuffed animals?! that`s pretty funny	1
144	TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak	0
145	tikcets are only ï¿½91...each...BUT I SO WANT TO GO	1
146	 Happy Mothers Day	1
147	 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!	0
148	is dreaming of the weekend... awake!	0
149	Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.	0
150	 yay but you missed naptime	0
151	D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good	1
152	just set up a new computer again. 15min. I love Norton Ghost.	1
153	Ahhh my mommie got me new sheets for my bed  so comfy	1
154	_celeste  finally some sleep in silence	0
155	im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday	0
156	is pretty dang tired. but chambers class is for napping.	0
157	i have to poop...   is hogging the shitter	0
158	YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv	0
159	Happy muthath`s day to all moms!!! I salute you!	1
160	Hahaha! Alright  ..	1
161	 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats	1
162	 good to know   thanks	1
163	 what are you? flavor of the day?	0
164	weathers let me down this morning...ugh!...hada gd nite tho!	0
165	Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock	0
166	 E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care	1
167	 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...	1
168	 oh i love sunday mornings like this - mum just made scrambled eggs on toast	1
169	hate working when its sunny,boohoo	0
170	is ONLiNE  http://plurk.com/p/stjdg	0
171	bundy. in 3 days.!!!! warm weather here i come!	0
172	Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!	0
173	a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/	0
174	Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!	0
175	_chick haha. I completely agree	1
176	If we don`t pack, she can`t leave, right?	0
177	 ****  lol....where u headed to?	0
178	Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else	1
179	 many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha	0
180	it`s nice to leave the office when the sun is still up	1
181	I will miss the soccer moms	0
182	 between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny	0
183	 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.	0
184	  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****	0
185	 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary	0
186	looking forward to body works today	0
187	just watched yes man. bahaha. that movie is messed up	0
188	 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years	0
189	 Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.	0
190	Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon	0
191	Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost	0
192	 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me	0
193	 glad to know that the ad display problem was due to a firewall config at yr office. phew!	1
194	 woot!	1
195	'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.	0
196	 ???    ?????? - http://bit.ly/nAcK2	0
197	Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!	0
198	Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball	1
199	Must head back to the office	0
200	St joe is dirty.	0
201	http://twitpic.com/4w67k - Camping at black butte lake	0
202	 are you getting my messages or do you have to add me to recieve them, soz I`m new to this	0
203	I hate my life	0
204	sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.	0
205	 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry	0
206	just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!	0
207	crying real tears	0
208	_Brown been holding onto this one for a while  http://twitpic.com/4w5eh	0
209	 Panchito`s burfday party tonight... wish you were here kiddo!	1
210	Back from town and my Mac crashed on me  but it`s better now	0
211	ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?	0
212	the best things in life are free  x	1
213	misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day	1
214	I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough	0
215	 that is a bummer	0
216	 He is the truth! But what about Maxwell? You can`t forget the future father of my children!	0
217	http://twitpic.com/665jw The racoons ate our bread!	0
218	Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.	1
219	_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.	0
220	No launch today. Teacher changed plans and we watched a stupid move about tesla	0
221	  it`s very pleasant. i sooo rarely just have time to kill...	1
222	 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!	1
223	__O lol but tiz a good song	1
224	Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going	0
225	@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.	0
226	 what causes the frustration buddy?	0
227	_Wright THANK YOU! 'Return of the Mack' is THE jam!	1
228	Ready for this saddenning depressing dullful upsetting dreadful weekend.	0
229	sorry for my lack of tweets  ive been buzy. new vid this saturday!!	0
230	 I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt	1
231	going to bed  cant take thiss any longeerr maan. [U]	0
232	_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!	1
233	 Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done	0
234	Spent the last hour signing yearbooks. I`ll miss you guys!	0
235	And I just love every little thing about you...	1
236	My mobile has stopped recieving text messages AGAIN. Stoooopid thing	0
237	 Hi Simon, let me know when it`s done	0
238	Had an amazing night with my favorite lady friend	1
239	_Oyler Poor little woman with her smushed in head	0
240	is fixin to clean the house for my mom for mother`s day	1
241	Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!	0
242	 Hey! That`s my school! I hate that place.	0
243	 i did i only got 3 stars on the pre wash then failed the rince	0
244	MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND	1
245	 follow me too	0
246	bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?	0
247	I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1	0
248	, goodnight	1
249	_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?	0
250	 but i do emily ahahha you scare me, so it would work	0
251	Now I need to change my monitor	0
252	 I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much	0
253	WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!	0
254	should not have waled past the Quad! I want to be outside having fun.	1
255	just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL	0
256	i think the food i ate made me sick.. i no feel so good	0
257	 eagerly anticipating twitpics	0
258	Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee	1
259	Just wants to stay in bed all day but has to go to work instead  sux	0
260	chillen trying to figure this thing out gettin drunk	1
261	yay doctors  now interview then back 2 the doctor`s for blood work	0
262	Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...	1
263	I`m siiiiiickkk  I dun feel good!!	0
264	 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic	1
265	Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face	1
266	_89 I feel so sorry for her  hope she dnt cry 2nd time	0
267	would wish the severe migrains would stop!!! doc`s prescriptions arent working	0
268	09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!	1
269	My Life Would Suck Without You - Kelly Clarkson	0
270	revising for exams	0
271	 you should so host the next logies, i only laughed at your bit really	1
272	 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.	0
273	__joy i feel like red lea now	1
274	 I`d love to but I think the trek from London would be a bit too much	0
275	 hey hey	0
276	thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch	0
277	Is miserable  i feel like im gona cry  sux!	0
278	 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol	1
279	 LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?	1
280	 lol, get watching it again  hehe	0
281	 Hope you did great - you certainly spent enough time studying.	1
282	 btw - downloaded iphone 3.0 sdk	0
283	Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me	0
284	 I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism	0
285	 me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him	0
286	Morning all! Have a GREAT DAY! Off to school I go	1
287	now, in a weird mood  muahaz	0
288	 congrats! Photo of dre?	1
289	#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!	1
290	Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace	1
291	 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.	0
292	 Oh, and a very good review	1
293	_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.	0
294	I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*	0
295	 its hilarious	1
296	 I love the guy that was standing behind me	1
297	Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!	1
298	lost my DC hat ..	0
299	starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update	0
300	   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )	0
301	Sunny synday morning. Nicole is up later than usual, mommy got some sleep	0
302	Browsing  find everything about university & interior design.	0
303	I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!	0
304	 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas	0
305	 I am soo excited about your pasadena seminar...if only i can find the confermation email	1
306	Ugh I don`t feel well again all of a sudden	0
307	I want a new phone  I`ve seen too much cellphone commercials (	0
308	 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while	0
309	 http://twitpic.com/4vuuy - That`s so cool.	1
310	school. 39 days !!! so exited. Amazing premier 	1
311	  tis very useful indeed esp. for newbies like me!	1
312	Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.	0
313	 it was just the handle tg	0
314	backe backe... MUFFINS!!!	0
315	is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well	1
316	lasttt mondayyy of classs	0
317	 yup!  Now I can join in on the nin access fun!	1
318	I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.	0
319	 unfair  I wanna go too.	0
320	Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie	1
321	Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!	0
322	 Aww, that`s sad.  I miss seeing you guys on the big screen.	0
323	 I knooww  & my hot water bottle iss in whangamata without me. ahhhhh	0
324	 eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:	0
325	 Thank you so much phaoloo !!!!	1
326	 the hotel should be thankful	1
327	Watching GH. I feel so bad for Carly.  OMG, so **** up.	0
328	 rofl that`s what we like to hear	1
329	Ok I`m frustrated, there is hella dust between the screens of my blackberry	0
330	IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[	0
331	 We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party	0
332	Change of plans, working inside bar tonight	0
333	 thanks for following	1
334	 Well, good luck then.	1
335	at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes	0
336	Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps	0
337	Undervote is just going on  I`m all overalled up	0
338	making german apple slice  nom nom nom	1
339	Looks like its another night at the office lol	0
340	My tummy hurts	0
341	Got about 2 hours sleep.	0
342	Anybody else experiencing painful slowdowns with facebook?	0
343	Lol..2 people in falcon..and boo one of them being becca	0
344	i really need to earn money... so that i can watch the PCD concert	0
345	The poor Pirate had out his last wisdom tooth and is looking really peaky.	0
346	Mozzer cancelled tonight by the looks of it.	1
347	waiting for aaron to get into town, and then leave him for work. booo	0
348	morning tweat tweat twitter	0
349	Headed home ... Charlie`s at the vet	0
350	i wanna b maliks from taking the stage	0
351	is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :]	1
352	bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair	0
353	 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent	0
354	about to go to leeds shopping	0
355	 Sadly, I can`t view that site due to region restrictions	0
356	It`s 20:50 hs and i`m still at the office...really tired,wanna go home!	0
357	Aly & AJ new album this summer. YAY!	1
358	_day26 ~ Awwwww have fun with the fam boo boo	1
359	@ lovelytrinkets I like the way you worded that about Rocky Road	1
360	Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.	1
361	Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.	0
362	I have nothing witty to say	0
363	 me too.	0
364	Hi ho  hi ho it`s off to work we go	0
365	 Thanks for the hint.  http://tinyurl.com/chtx7e.	1
366	 u welcome babe, kill the show! Yuuupp!	1
367	 Hey, Candis.	0
368	 I was never a good stereotypical teen	0
369	I love my Maitu. N she loves me. Happy mothers day mama!	1
370	 i am so sorry	0
371	i want to go to singapore but my mother seems not	0
372	JB on the front of factor x!!!!! wooh contest timeee	0
373	 so u aren`t going to be in Chicago	0
374	i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >	1
375	So tired.	0
376	had a lovely breakfast with mum...yummy pancakes	1
377	 Yay! have fun	1
378	 Why thank you... Us Mami`s are bringin` sexy back...	1
379	 lucky! that`s awesome	1
380	Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)	0
381	I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?	0
382	Oh is that time for real?	0
383	So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.	0
384	I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7	1
385	I misses my bed  so sleepy!	0
386	Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp	1
387	No TV and no internet make Catherine something something?	0
388	Anyone have some advice??? I need it!!	0
389	Just found mj mouse flats at DJs. Of course there are none left in my size	0
390	I`m dreading hearing even worse news tonight	0
391	so now that I have a whole 20 followers, 5 of them actual people, I don`t know what to write in here anymore	0
392	haappy bank holiday  2 weeeeks. aah!	1
393	  I thought  was against licensing stores bc it takes away from the experience they want to provide	0
394	_a_michael It doesn`t look like you`re tired in the pic.  Don`t work too hard.	0
395	so I slept in a little...well a lot. whooops	0
396	says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6	1
397	 Good night, Rob. Sleep well. Safe travels tomorrow!	1
398	 i know i suck.  my data plan is weak sauce.	0
399	 Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x	0
400	  Bit of New Scientist, this weeks an last weeks, and Watership Down	0
401	 dear oh dear.....	0
402	my monday running so fast!	0
403	playing at my old school playground still the same except them lame **** got rid of the tire swing	0
404	happy mommah`s day to your moms  http://plurk.com/p/stqya	1
405	_Cal Work or...(hehe mind in the gutter)! I`m sittin here doin this student loan thing.	0
406	 Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x	1
407	 you`re surrounded by them! I have no official nieces/nephews yet	0
408	 Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket	1
409	 nope i have a fifth generation ipod classic  it likes to be dumb	0
410	 meetings are overrated.	0
411	 I love the smell of procrastination in the morning... oder so.	1
412	 I considered being a nurse when I was younger but I really don`t think I could cope if a baby died	0
413	 I know.  I am definitely going to try and see Up this weekend.	1
414	 Nice!!!!!!!! I WILL be there	1
415	Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her	0
416	 lol that just totally made me laugh, which made my day	1
417	tonight was fun	1
418	 this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day	0
419	Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol	1
420	is on facebook	0
421	I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...	0
422	Franco made breakfast for Mom. Here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw	0
423	 http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from 'The American Tail' . Over in RI!	0
424	Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?	0
425	 Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff'	0
426	_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week.	0
427	Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. ****. THIS was it!	0
428	Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!	1
429	 one of our governors is one of the directors of the company	0
430	no internet for a week or longer	0
431	Jesus Christ meadowhall could do with better air con! Too hot	0
432	Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she`s getting it we can be backing dancers by next tour	0
433	 I sure she can	1
434	Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!	0
435	this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist	0
436	Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....	0
437	Kelly Kelly pays your bills @ 12:15, Kaden pays em @ 5:15 and  just wants you to follow him. lol He dosent get to pay bills	0
438	 i want to gooo	1
439	evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work	0
440	Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!	1
441	Ugh fun concert  screen cracked on phone again because it fell... =\	0
442	 if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP	0
443	So happy, my VStudio shortcuts are backkk	1
444	 can`t wait to hear the evp! And cuuuute picture.	1
445	Headed to verizon. Praying that pinkberry is going to make it.	1
446	Awaiting reply from two projects. One cancelled.	0
447	Coco still out	0
448	 Have You Watched You Belong With Me?   By My Lovely Sister ) Kiddin.	1
449	 Hello again  How`d ur saturday go?	0
450	 why aren`t you showing up as a #spymaster in my screen?	0
451	Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting	1
452	Leaving the beach .. Having a great day with vicente .. We needed this time together	1
453	Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot	0
454	just left & already misses Nashville  be back sunday	0
